mall_name,latitude,longitude
"Gyeongyang-ro 165beon-gil, Buk-gu, Gwangju, South Korea",35.1611927,126.9094273
"South Korea, Gwangju, Buk-gu, Yu-dong, 94-5 ?? 94-5?? ?? ?? ????? KR 61246",35.1598996,126.9035271
"5?? 685 Wolgok-dong, Gwangsan-gu, Gwangju, South Korea",35.173444,126.8093208
"Wolgoksanjeong-ro, Gwangsan-gu, Gwangju, South Korea",35.1664918,126.8032729
"1?? 365 Jisan-dong, Gwangsan-gu, Gwangju, South Korea",35.1878905,126.7364021
"South Korea, ??? 492-11?? 1? ??? ????? KR",35.2050836,126.6852406
"Pungyeongcheolgil-ro, Gwangsan-gu, Gwangju, South Korea",35.1627197,126.8119766
"961-5 Sanjeong-dong, Gwangsan-gu, Gwangju, South Korea",35.1693948,126.8046066
"98 Jangsin-ro, Suwan-dong, Gwangsan-gu, Gwangju, South Korea",35.1903446,126.8196813
"621-40 Docheon-dong, Gwangsan-gu, Gwangju, South Korea",35.2089757,126.8139309
"327-4 ??1? Seo-gu, Gwangju, South Korea",35.1551315,126.8907099
"273-23 Oseon-dong, Gwangsan-gu, Gwangju, South Korea",35.202095,126.7995773
"883 Yangsan-dong, Buk-gu, Gwangju, South Korea",35.2100246,126.8797466
"Pyeongdongsandanoe-ro, Gwangsan-gu, Gwangju, South Korea",35.136752,126.7619762
"627 Sangmu-daero, Mareuk-dong, Seo-gu, Gwangju, South Korea",35.140696,126.833498
"29 Chungjang-dong, Dong-gu, Gwangju, South Korea",35.1492297,126.91679
"South Korea, ??? 888-2?? 1? ??? ????? KR",35.215662,126.843321
"South Korea, Gwangju, Seo-gu, Sangmu-daero, 773 106 ?",35.1461518,126.8467644
"Yang-dong, Seo-gu, Gwangju, South Korea",35.1538613,126.9021342
"South Korea, Gwangju, ??????",35.2088179,126.8145401
"South Korea, Gwangju, Gwangsan-gu, Namsan-dong, 167?? 1?",35.1716819,126.7256131
"258-21 Songjeong-dong, Gwangsan-gu, Gwangju, South Korea",35.1366706,126.7986259
"2-1 Donggok-ro 35beon-gil, Gwangsan-gu, Gwangju, South Korea",35.0870378,126.7720834
"355-1 Unsu-dong, Gwangsan-gu, Gwangju, South Korea",35.1491172,126.7769958
"Hwaun-ro, Seo-gu, Gwangju, South Korea",35.15823,126.878287
"Sanjeong-dong, Gwangsan-gu, Gwangju, South Korea",35.1534343,126.810883
"69-26, Saam-ro 92beon-gil, Usan-dong, Gwangsan-gu, Gwangju, South Korea",35.1530223,126.8113151
"441 Yang-dong, Gwangsan-gu, Gwangju, South Korea",35.1519042,126.6641191
"Cheonbyeonjwaha-ro, Seo-gu, Gwangju, South Korea",35.1595454,126.8526012
