place_name,latitude,longitude,address,rank
Park,35.222211,126.8443276,"653-1 Ssangam-dong, Gwangsan-gu, Gwangju, South Korea",38
Botanical garden,35.1564881,126.8170246,"South Korea, ?? A ? KR ????? ??? ??? 204-10 13?",33
Park,35.1564881,126.8170246,"Gwangju, South Korea",34
Park,35.1671549,126.8144934,"Wolgok-dong, Gwangsan-gu, Gwangju, South Korea",36
Park,35.2141159,126.8431057,"889-3  Gwangsan-gu, Gwangju, South Korea",35
Park,35.1711179,126.8167104,"156 Mongnyeon-ro, Gwangsan-gu, Gwangju, South Korea",32
Park,35.2343237,126.8673227,"190 Chuam-ro, Buk-gu, Gwangju, South Korea",36
Park,35.1563889,126.8033333,"Usan-dong, Gwangju, South Korea",31
Park,35.1780894,126.8444991,"South Korea, Gwangju, Buk-gu, ??? 1094-3",30
Park,35.2205874,126.8554116,"Oryong-dong, Buk-gu, Gwangju, South Korea",37
Park,35.2172882,126.8329348,"760-1 Wolgye-dong, Gwangsan-gu, Gwangju, South Korea",32
Park,35.1692101,126.8053553,"539 Wolgok-dong, Gwangsan-gu, Gwangju, South Korea",26
Park,35.2249349,126.8412107,"KAIST, Gwangju, South Korea",31
Park,35.222829,126.8413331,"South Korea, Gwangju, Gwangsan-gu, ??1?",30
Park,35.1816567,126.8288581,"Singa-dong, Gwangsan-gu, Gwangju, South Korea",25
Historical place,35.1777782,126.8012954,"161 Hanam-daero 54beonan-gil, Gwangsan-gu, Gwangju, South Korea",24
Learning center,35.2195105,126.8554049,"877 Imbangul-daero, Buk-gu, Gwangju, South Korea",29
Science museum,35.2296488,126.8500641,"235 Cheomdangwagi-ro, Buk-gu, Gwangju, South Korea",27
Garden,35.2128853,126.8252427,", 611 23, Gwangsan-gu, Gwangju, South Korea",24
Park,35.2211486,126.8222691,"Bia-dong, Gwangsan-gu, Gwangju, South Korea",28
Park,35.2210779,126.8605793,"South Korea, Gwangju, Buk-gu, ??? 77-6",26
Tourist attraction,35.1595454,126.8526014,"Gwangju, South Korea",14
Tourist attraction,35.1534115,126.8535554,"Sicheong-ro 56beon-gil, Seo-gu, Gwangju, South Korea",15
Park,35.1945133,126.8450454," Gwangsan-gu, Gwangju, South Korea",17
Park,35.1533792,126.8407412,"1162 Chipyeong-dong, Seo-gu, Gwangju, South Korea",18
Park,35.1561883,126.8408825,"South Korea, Gwangju, Seo-gu, Sangmusimin-ro, 3 ",17
